display_name,component_name,topic_name,url
ae_adl_findmax,List,Lists,http://acos.cs.hut.fi/pitt/jsvee/jsvee-python/ae?example-id=ae_adl_findmax
ae_adl_findmax,If,Lists,http://acos.cs.hut.fi/pitt/jsvee/jsvee-python/ae?example-id=ae_adl_findmax
ae_adl_findmax,For,Lists,http://acos.cs.hut.fi/pitt/jsvee/jsvee-python/ae?example-id=ae_adl_findmax
ae_adl_findmax,Str,Lists,http://acos.cs.hut.fi/pitt/jsvee/jsvee-python/ae?example-id=ae_adl_findmax
ae_adl_findmax,Assign,Lists,http://acos.cs.hut.fi/pitt/jsvee/jsvee-python/ae?example-id=ae_adl_findmax
q_py_list_access1,Index,Lists,http://adapt2.sis.pitt.edu/quizpet/displayQuiz.jsp?rdfID=q_py_list_access1&act=q_py_topic_lists&sub=q_py_list_access1
q_py_list_access1,Int,Lists,http://adapt2.sis.pitt.edu/quizpet/displayQuiz.jsp?rdfID=q_py_list_access1&act=q_py_topic_lists&sub=q_py_list_access1
q_py_list_access1,List,Lists,http://adapt2.sis.pitt.edu/quizpet/displayQuiz.jsp?rdfID=q_py_list_access1&act=q_py_topic_lists&sub=q_py_list_access1
q_py_list_access1,Call,Lists,http://adapt2.sis.pitt.edu/quizpet/displayQuiz.jsp?rdfID=q_py_list_access1&act=q_py_topic_lists&sub=q_py_list_access1
q_py_list_access1,USub,Lists,http://adapt2.sis.pitt.edu/quizpet/displayQuiz.jsp?rdfID=q_py_list_access1&act=q_py_topic_lists&sub=q_py_list_access1
q_py_list_access1,Assign,Lists,http://adapt2.sis.pitt.edu/quizpet/displayQuiz.jsp?rdfID=q_py_list_access1&act=q_py_topic_lists&sub=q_py_list_access1
q_py_list_access2,Index,Lists,http://adapt2.sis.pitt.edu/quizpet/displayQuiz.jsp?rdfID=q_py_list_access2&act=q_py_topic_lists&sub=q_py_list_access2
q_py_list_access2,For,Lists,http://adapt2.sis.pitt.edu/quizpet/displayQuiz.jsp?rdfID=q_py_list_access2&act=q_py_topic_lists&sub=q_py_list_access2
q_py_list_access2,Int,Lists,http://adapt2.sis.pitt.edu/quizpet/displayQuiz.jsp?rdfID=q_py_list_access2&act=q_py_topic_lists&sub=q_py_list_access2
q_py_list_access2,List,Lists,http://adapt2.sis.pitt.edu/quizpet/displayQuiz.jsp?rdfID=q_py_list_access2&act=q_py_topic_lists&sub=q_py_list_access2
q_py_list_access2,Call,Lists,http://adapt2.sis.pitt.edu/quizpet/displayQuiz.jsp?rdfID=q_py_list_access2&act=q_py_topic_lists&sub=q_py_list_access2
q_py_list_access2,Assign,Lists,http://adapt2.sis.pitt.edu/quizpet/displayQuiz.jsp?rdfID=q_py_list_access2&act=q_py_topic_lists&sub=q_py_list_access2
q_py_list_access2,Mult,Lists,http://adapt2.sis.pitt.edu/quizpet/displayQuiz.jsp?rdfID=q_py_list_access2&act=q_py_topic_lists&sub=q_py_list_access2
